COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808420640	"D'ASCANIO Maria-FASOLI Antonella"	"Mundo social"		"seconda edizione"	"Volume unico"	2110	224	", Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2018"
9788808258106	"AVITABILE Gustavo-CARUSO Ugo-GALLOGLY Ethan B.-MCQUARRIE Donald A-ROCK Peter A."	"Chimica generale"		"Seconda edizione italiana condotta sulla quarta edizione americana"	"Volume unico"	9350	808	"Trad. di G. Avitabile, U. Caruso, 220x295, 2012"
9788808637710	"LUPIA PALMIERI Elvidio-PAROTTO Maurizio"	"Osservare e capire # la Terra. Edizione azzurra"		"Seconda edizione"	"Volume ••"	1770	200	", , 230x285, 2015"
9788808086914	"BRUNO Mauro-D'AGOSTINO Michela-SANTORO Rosario"	"Esercizi di fisica"	Elettromagnetismo		"Volume unico"	2540	240	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2004"
9788808417824	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"Dalla materia alla nomenclatura"	3580	448	", , 210x285, 2022"
9788808428592	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"I polimeri e i materiali S"	1300	96	", , 210x285, 2022"
9788808448170	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"Dalla struttura atomica all'elettrochimica"	3580	472	", , 210x285, 2022"
9788808524522	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"Dagli equilibri all'elettrochimica"	2320	264	", , 210x285, 2022"
9788808620125	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"Dalla materia all'elettrochimica"	4470	696	", , 210x285, 2022"
9788808662545	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"Dalla mole alla nomenclatura"	2400	296	", , 210x285, 2022"
9788808809377	"FIORANI Tiziana-POSCA Vito"	"Chimica più"		"seconda edizione"	"Dalla mole all'elettrochimica"	3990	536	", , 210x285, 2022"
